,Number,thre,Opt_param_class(N_est),Opt_param_class(Max_f),MCC(clas.),Opt_param_cl_after_reg(N_est),Opt_param_cl_after_reg(Max_f),MCC(class_after_reg.)
0,1,5.0,500.0,32.0,0.8078804971425511,101.0,768.0,0.7769673163879026
1,2,5.0,500.0,32.0,0.8066225712044339,500.0,768.0,0.8072322561152141
2,3,5.0,101.0,32.0,0.7989157767467674,300.0,768.0,0.7935655992233202
3,4,5.0,300.0,32.0,0.796600911194524,500.0,512.0,0.8598823683191407
4,5,5.0,500.0,32.0,0.8078804971425511,300.0,768.0,0.7935655992233202
5,1,5.5,300.0,256.0,0.859249141329909,500.0,256.0,0.8568802620135401
6,2,5.5,300.0,32.0,0.7975119899431783,101.0,256.0,0.8835728716822701
7,3,5.5,500.0,32.0,0.7940546785699809,500.0,256.0,0.8568802620135401
8,4,5.5,300.0,32.0,0.7846705395526931,500.0,256.0,0.8761088068078603
9,5,5.5,500.0,512.0,0.8480353417497462,500.0,256.0,0.8568802620135401
10,1,6.0,101.0,256.0,0.809641612833472,101.0,512.0,0.8372148148573201
11,2,6.0,500.0,256.0,0.8211970721860021,500.0,256.0,0.8724145263114274
12,3,6.0,500.0,256.0,0.818176197496727,500.0,512.0,0.8417653132386496
13,4,6.0,500.0,256.0,0.8389535289296131,500.0,512.0,0.8598823683191407
14,5,6.0,500.0,256.0,0.818176197496727,500.0,256.0,0.8568802620135401
15,1,6.5,300.0,768.0,0.7345907339967213,500.0,256.0,0.8568802620135401
16,2,6.5,300.0,512.0,0.7842374680070485,300.0,32.0,0.7961127104195911
17,3,6.5,500.0,512.0,0.7826226373316082,300.0,256.0,0.8617244759788326
18,4,6.5,101.0,512.0,0.7978270947077452,300.0,32.0,0.780883703768654
19,5,6.5,500.0,256.0,0.7914411393072902,300.0,768.0,0.7935655992233202
20,1,7.0,300.0,512.0,0.7761491322845842,101.0,32.0,0.7917602745837039
21,2,7.0,101.0,768.0,0.7508272539371724,101.0,32.0,0.8125263455686312
22,3,7.0,101.0,768.0,0.7267687017060985,101.0,32.0,0.7917602745837039
23,4,7.0,300.0,768.0,0.7948877909129026,101.0,32.0,0.8109856263959317
24,5,7.0,300.0,512.0,0.7761491322845842,101.0,32.0,0.7917602745837039
